"type","ID","Period","site"
"455","BearMR","a",6,"B1"
"456","BearMR","a",6,"C2"
"457","BearMR","a",6,"C3"
"458","BearMR","a",6,"D4"
"459","BearMR","a",6,"E4"
"460","BearMR","b",6,"A6"
"461","BearMR","b",6,"B6"
"462","BearMR","c",6,"A2"
"463","BearMR","c",6,"A3"
"464","BearMR","c",6,"A4"
"465","BearMR","c",6,"B3"
"466","BearMR","c",6,"B4"
"467","BearMR","c",6,"B5"
"468","BearMR","c",6,"C3"
"469","BearMR","c",6,"C5"
"470","BearMR","d",6,"E4"
"471","BearMR","d",6,"E5"
"472","BearMR","d",6,"F6"
"473","BearMR","f",6,"B2"
"474","BearMR","f",6,"C2"
"475","BearMR","f",6,"D1"
"476","BearMR","f",6,"E2"
"477","BearMR","g",6,"B5"
"478","BearMR","g",6,"D5"
"479","BearMR","g",6,"E5"
"480","BearMR","g",6,"F4"
"481","BearMR","g",6,"F6"
"482","BearMR","h",6,"C6"
"483","BearMR","h",6,"D5"
"484","BearMR","h",6,"F6"
"485","BearMR","i",6,"B4"
"486","BearMR","i",6,"C5"
"487","BearMR","j",6,"A6"
"488","BearMR","j",6,"B5"
"489","BearMR","j",6,"B6"
"490","BearMR","j",6,"C5"
"491","BearMR","j",6,"C6"
"492","BearMR","j",6,"D5"
"493","BearMR","k",6,"D1"
"494","BearMR","k",6,"D2"
"495","BearMR","k",6,"E2"
"496","BearMR","l",6,"C5"
"497","BearMR","l",6,"D6"
"498","BearMR","l",6,"E6"
"499","BearMR","l",6,"F6"
"500","BearMR","m",6,"E5"
"501","BearMR","n",6,"B2"
"502","BearMR","n",6,"B3"
"503","BearMR","n",6,"C2"
"504","BearMR","o",6,"A5"
"505","BearMR","o",6,"B6"
"506","BearMR","o",6,"C6"
"507","BearMR","p",6,"E5"
"508","BearMR","p",6,"E6"
"509","BearMR","p",6,"F5"
"510","BearMR","q",6,"A4"
"511","BearMR","q",6,"A5"
"512","BearMR","q",6,"C6"
"513","BearMR","r",6,"B4"
"514","BearMR","r",6,"B5"
"515","BearMR","r",6,"C3"
"516","BearMR","r",6,"C4"
"517","BearMR","s",6,"D1"
"518","BearMR","s",6,"E1"
"519","BearMR","s",6,"E2"
"520","BearMR","s",6,"F1"
"521","BearMR","t",6,"B3"
"522","BearMR","t",6,"C4"
"523","BearMR","t",6,"C5"
"524","BearMR","t",6,"D2"
"525","BearMR","t",6,"D3"
"526","BearMR","t",6,"D4"
"527","BearMR","v",6,"B2"
"528","BearMR","v",6,"C1"
"529","BearMR","v",6,"C2"
"530","BearMR","v",6,"D1"
"531","BearMR","v",6,"D2"
"532","BearMR","w",6,"C2"
"533","BearMR","w",6,"D1"
"534","BearMR","x",6,"D2"
"535","BearMR","x",6,"E4"
"536","BearMR","x",6,"E5"
"537","BearMR","x",6,"E6"
"538","BearMR","x",6,"F6"
"539","BearMR","y",6,"A1"
"540","BearMR","y",6,"A2"
"541","BearMR","y",6,"B1"
"542","BearMR","y",6,"C2"
"543","BearMR","z",6,"A4"
"544","BearMR","z",6,"D4"
"545","BearMR","A",6,"A5"
"546","BearMR","A",6,"B5"
"547","BearMR","A",6,"B6"
"548","BearMR","A",6,"C6"
"549","BearMR","B",6,"A1"
"550","BearMR","B",6,"A3"
"551","BearMR","B",6,"B4"
"552","BearMR","C",6,"D2"
"553","BearMR","C",6,"F1"
"554","BearMR","C",6,"F2"
"555","BearMR","C",6,"F3"
"556","BearMR","D",6,"A3"
"557","BearMR","D",6,"B2"
"558","BearMR","D",6,"C4"
"559","BearMR","D",6,"D3"
"560","BearMR","D",6,"D4"
"561","BearMR","D",6,"E3"
"562","BearMR","D",6,"F4"
