"","FullN.notRedun","SubProp.notRedun","SubN.notRedun","Denhat","Denhat.SE","g0","g0.bTRUE","sigma","trial","model","size","fullN","whichSource","sim"
"508",507,0.596470588235294,507,404.018529564086,63.7568300813178,-2.41383430213917,3.04047982714328,1.55440616002417,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10034.rds"
"509",507,0.596470588235294,507,404.018432097902,63.7568141987979,-2.41383437123827,3.04047894434678,1.55440641872203,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10035.rds"
"510",507,0.596470588235294,507,404.018460968846,63.7568186277767,-2.41383437624645,3.04047851045801,1.5544063466354,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10036.rds"
"511",507,0.596470588235294,507,404.018436093796,63.7568149551776,-2.41383481179108,3.04047928315913,1.55440648719133,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10038.rds"
"512",507,0.596470588235294,507,404.018519861478,63.7568283205762,-2.41383431596949,3.04047991836238,1.55440618701691,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10040.rds"
"513",507,0.596470588235294,507,404.018113849946,63.7567640856824,-2.41383337248322,3.04048067316312,1.55440704506599,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10041.rds"
"514",507,0.596470588235294,507,404.017989981224,63.7567443771442,-2.41383379735939,3.04047981428595,1.55440743395564,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10043.rds"
"515",507,0.596470588235294,507,404.018457304462,63.7568185733698,-2.41383434403662,3.04048005626417,1.55440635015376,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10044.rds"
"516",507,0.596470588235294,507,404.018173249668,63.7567736906443,-2.4138331911445,3.04048096900346,1.55440686257472,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10046.rds"
"517",507,0.596470588235294,507,404.018489478084,63.7568229342172,-2.41383414564008,3.04047848206136,1.55440623344258,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10047.rds"
"518",507,0.596470588235294,507,404.018443133595,63.7568161443339,-2.41383438592101,3.04047873282402,1.55440639344465,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10048.rds"
"519",507,0.596470588235294,507,404.018492458918,63.7568238762445,-2.41383416633103,3.0404794419283,1.55440622959776,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10049.rds"
"520",507,0.596470588235294,507,404.018249439561,63.756785768009,-2.41383301437803,3.04048115809081,1.55440663845678,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10050.rds"
"521",507,0.596470588235294,507,404.018427127885,63.7568133831179,-2.41383436029281,3.04047906427835,1.55440642933315,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10052.rds"
"522",507,0.596470588235294,507,404.018482413417,63.7568220419223,-2.41383447822075,3.04047888177759,1.55440631061447,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10053.rds"
"523",507,0.596470588235294,507,404.01848735554,63.7568226735368,-2.41383422223229,3.04047845330431,1.55440625246772,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10054.rds"
"524",507,0.596470588235294,507,404.018489487255,63.756823632336,-2.4138340702322,3.040479476514,1.55440621997083,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10055.rds"
"525",507,0.596470588235294,507,404.018505716179,63.7568258139582,-2.41383313897453,3.04047929004985,1.55440601286299,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10056.rds"
"526",507,0.596470588235294,507,404.018572815162,63.756837097306,-2.41383419899274,3.04047987135551,1.55440603229882,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10057.rds"
"527",507,0.596470588235294,507,404.018585096365,63.7568388875226,-2.41383409558447,3.04048017006988,1.55440598281222,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10058.rds"
"528",507,0.596470588235294,507,404.018504459259,63.7568257266202,-2.4138331541915,3.04047908751121,1.55440601875408,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10060.rds"
"529",507,0.596470588235294,507,404.017970541306,63.7567412482072,-2.41383386021954,3.04047966297183,1.55440749430665,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10061.rds"
"530",507,0.596470588235294,507,404.017872145331,63.7567252505656,-2.41383415191728,3.0404789647151,1.55440779505486,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10063.rds"
"531",507,0.596470588235294,507,404.018054002608,63.7567545931884,-2.41383357956816,3.04048028572437,1.55440723328051,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10065.rds"
"532",507,0.596470588235294,507,404.018432795349,63.7568146502912,-2.41383434076275,3.04047984969789,1.55440641152389,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Full10067.rds"
